Country,2016,2017,2018,2019,2020,2021,2022
Austria,16.4,16.7,17.2,17.7,18.0,18.7,19.0
Belgium,12.8,12.9,13.2,13.4,13.6,13.8,14.0
Bulgaria,1.3,1.4,1.5,1.5,1.6,1.7,1.8
Croatia,13.5,13.9,14.2,14.6,14.9,15.2,15.5
Cyprus,20.9,21.5,22.1,22.5,22.8,23.0,23.5
Czech Republic,5.6,5.8,6.0,6.1,6.2,6.4,6.7
Denmark,8.8,9.1,9.3,9.5,9.6,9.8,10.1
Estonia,15.4,15.7,16.0,16.2,16.5,16.7,17.0
Finland,6.2,6.3,6.5,6.7,6.8,6.9,7.1
France,12.1,12.3,12.5,12.7,12.8,13.0,13.2
Germany,14.5,14.7,14.9,15.1,15.3,15.5,15.8
Greece,12.0,12.2,12.3,12.5,12.6,12.7,12.9
Hungary,5.2,5.3,5.5,5.6,5.8,6.0,6.1
Iceland,11.4,11.8,12.2,12.6,13.0,13.4,13.7
Ireland,17.4,17.6,17.9,18.1,18.4,18.6,18.9
Italy,9.2,9.4,9.6,9.7,9.9,10.0,10.2
Latvia,14.3,14.5,14.7,14.8,14.9,15.0,15.2
Lithuania,13.1,13.3,13.5,13.7,13.8,14.0,14.2
Luxembourg,46.0,46.3,46.7,47.1,47.4,47.7,48.0
Malta,17.8,18.2,18.7,19.1,19.4,19.8,20.2
Netherlands,12.5,12.7,12.9,13.1,13.2,13.4,13.6
Norway,15.2,15.4,15.6,15.8,16.0,16.1,16.3
Poland,3.4,3.5,3.6,3.8,4.0,4.2,4.4
Portugal,8.2,8.4,8.6,8.8,9.0,9.2,9.4
Romania,1.2,1.3,1.4,1.5,1.6,1.7,1.8
Slovak Republic,3.1,3.2,3.3,3.4,3.5,3.6,3.7
Slovenia,10.1,10.3,10.5,10.7,10.9,11.1,11.3
Spain,12.4,12.6,12.8,13.0,13.2,13.4,13.6
Sweden,17.0,17.3,17.5,17.7,17.9,18.1,18.4
Switzerland,25.1,25.3,25.5,25.7,25.9,26.1,26.4
United Kingdom,13.4,13.5,13.6,13.8,14.0,14.1,14.3
Gibraltar,28.9,29.2,29.5,29.8,30.1,30.4,30.7
Albania,1.6,1.7,1.8,1.9,2.0,2.1,2.2
Andorra,71.6,71.9,72.2,72.5,72.8,73.1,73.4
Armenia,1.1,1.2,1.3,1.4,1.5,1.6,1.7
Azerbaijan,1.9,2.0,2.1,2.2,2.3,2.4,2.5
Belarus,4.8,4.9,5.0,5.1,5.2,5.3,5.4
Bosnia and Herzegovina,1.9,2.0,2.1,2.2,2.3,2.4,2.5
Channel Islands,9.7,9.8,9.9,10.0,10.1,10.2,10.3
Faroe Islands,6.5,6.6,6.7,6.8,6.9,7.0,7.1
Georgia,3.8,3.9,4.0,4.1,4.2,4.3,4.4
Greenland,6.2,6.3,6.4,6.5,6.6,6.7,6.8
Isle of Man,15.4,15.5,15.6,15.7,15.8,15.9,16.0
Kazakhstan,2.0,2.1,2.2,2.3,2.4,2.5,2.6
Kosovo,5.6,5.7,5.8,5.9,6.0,6.1,6.2
Liechtenstein,33.2,33.4,33.6,33.8,34.0,34.2,34.4
Moldova,0.7,0.8,0.9,1.0,1.1,1.2,1.3
Montenegro,4.3,4.4,4.5,4.6,4.7,4.8,4.9
Monaco,64.7,64.9,65.1,65.3,65.5,65.7,65.9
North Macedonia,3.5,3.6,3.7,3.8,3.9,4.0,4.1
Russian Federation,1.9,2.0,2.1,2.2,2.3,2.4,2.5
San Marino,42.8,43.0,43.2,43.4,43.6,43.8,44.0
Serbia,1.6,1.7,1.8,1.9,2.0,2.1,2.2
Tajikistan,0.6,0.7,0.8,0.9,1.0,1.1,1.2
Turkiye,4.0,4.1,4.2,4.3,4.4,4.5,4.6
Turkmenistan,0.5,0.6,0.7,0.8,0.9,1.0,1.1
Ukraine,4.1,4.2,4.3,4.4,4.5,4.6,4.7
Uzbekistan,0.8,0.9,1.0,1.1,1.2,1.3,1.4
Malta,17.8,18.2,18.7,19.1,19.4,19.8,20.2
Kyrgyzstan,4.4,4.5,4.4,4,5.3,4.9,5.0
