DATAFLOW,LAST UPDATE,freq,c_birth,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2016,1588209,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2017,1649008,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2018,1690619,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2019,1722833,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2020,1760595,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2021,1792053,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2022,1834342,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2023,1963312,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2016,1845631,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2017,1876726,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2018,1916272,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2019,1968060,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2020,2027763,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2021,2065727,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2022,2119691,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2023,2246910,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2016,136421,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2017,145390,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2018,156505,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2019,171993,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2020,188729,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2021,201940,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2022,220843,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2023,168595,b
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2016,2324461,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2017,2391480,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2018,2432519,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2019,2469381,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2020,2509692,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2021,2553225,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2022,2598146,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2023,2662038,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CY,2016,172808,
