Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,World,WLD,5293395467,6144321462,7317040295,7403850164,7490415449,7576441961,7660371127,7741774583,7820205606,7888305693,7950946801,..
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,..
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1040616,1437539,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992,..
"Population, total",SP.POP.TOTL,Gibraltar,GIB,27317,27741,32452,32520,32565,32602,32648,32685,32709,32669,32649,..
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,..
"Population, total",SP.POP.TOTL,Andorra,AND,53569,66097,71621,71746,72540,73837,75013,76343,77700,79034,79824,..
"Population, total",SP.POP.TOTL,Armenia,ARM,3556539,3168523,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469,..
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,..
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7175200,8048600,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,..
"Population, total",SP.POP.TOTL,Belarus,BLR,10189348,9979610,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,..
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11685814,..
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4494310,4179350,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526,..
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6465097,..
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140601,145306,160912,162190,163721,165215,167259,169410,171113,172683,174079,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4777368,4468302,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3879000,3855600,..
"Population, total",SP.POP.TOTL,Cyprus,CYP,788500,948237,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488,..
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10333355,10255063,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,..
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,..
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,..
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47479,45660,48465,48816,49500,50230,50955,51681,52415,52889,53090,..
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,..
"Population, total",SP.POP.TOTL,France,FRA,58044701,60921384,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311,..
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4077131,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,..
"Population, total",SP.POP.TOTL,Greece,GRC,10196792,10805808,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10426919,..
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,56200,56295,56114,56186,56172,56023,56225,56367,56653,56661,..
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10210971,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9643048,..
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,281205,327386,330815,335439,343400,352721,360563,366463,372520,382003,..
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3805174,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5127170,..
"Population, total",SP.POP.TOTL,Isle of Man,IMN,68865,75562,83896,83593,83450,83580,83775,83933,84046,84263,84519,..
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425,..
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16348000,14883626,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19000988,19621972,..
"Population, total",SP.POP.TOTL,Kosovo,XKX,1862000,1700000,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1786038,1761985,..
"Population, total",SP.POP.TOTL,Kyrgyzstan,KGZ,4391200,4898400,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6773400,6974900,..
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,..
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28765,33026,37096,37355,37609,37889,38181,38482,38756,39039,39327,..
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839,2831639,..
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,556319,569604,582014,596336,607950,620001,630419,640064,653103,..
"Population, total",SP.POP.TOTL,Moldova,MDA,2965978,2924668,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2538894,..
"Population, total",SP.POP.TOTL,Monaco,MCO,30329,32465,36110,36760,37071,37044,37029,37034,36922,36686,36469,..
"Population, total",SP.POP.TOTL,Montenegro,MNE,606372,604950,621810,622159,622303,622373,622227,622028,621306,619211,617213,..
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982,..
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2044174,2026350,2067471,2070226,2072490,2074502,2076217,2076694,2072531,2065092,2057679,..
"Population, total",SP.POP.TOTL,Norway,NOR,4241473,4490967,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127,..
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38258629,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37747124,36821749,..
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,10289898,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10409704,..
"Population, total",SP.POP.TOTL,Romania,ROU,23201835,22442971,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19047009,..
"Population, total",SP.POP.TOTL,Russian Federation,RUS,147969407,146596869,143819667,144096870,144342397,144496739,144477859,144406261,144073139,144130482,144236933,..
"Population, total",SP.POP.TOTL,San Marino,SMR,23132,26823,33389,33570,33834,34056,34156,34178,34007,33745,33660,..
"Population, total",SP.POP.TOTL,Serbia,SRB,7586000,7516346,7130576,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449,..
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,..
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2111986,..
"Population, total",SP.POP.TOTL,Spain,ESP,38867322,40567864,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47778340,..
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941,..
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8775760,..
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5417860,6272998,8326348,8524063,8725318,8925525,9128132,9337003,9543207,9750064,9952787,..
"Population, total",SP.POP.TOTL,Turkiye,TUR,54324142,64113547,77181884,78218479,79277962,80312698,81407204,82579440,83384680,84147318,84979913,..
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3720278,4569132,5663152,5766431,5868561,5968383,6065066,6158420,6250438,6341855,6430770,..
"Population, total",SP.POP.TOTL,Ukraine,UKR,51891400,49176500,45272155,45154036,45004673,44831135,44622518,44386203,44132049,43822901,38000000,..
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,64602298,65116219,65611593,66058859,66460344,66836327,67081234,67026292,66971395,..
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,24650400,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34915100,35648100,..
"Population, total",SP.POP.TOTL,Malta,MLT,205100023,24650400,30757700,31298900,455356,467999,484630,504062,515332,518536,531113,..
