Date,Country,Bias motivations,Type of incident,Source,Description
2016-11,Belgium,Anti-Semitic hate crime,Violent attacks against people,Antisemitisme.be,A man visibly identifiable as Jewish was pushed and shoved by an unknown perpetrator.
2016-11,Belgium,Anti-Semitic hate crime,Threats,Antisemitisme.be,A man visibly identifiable as Jewish was chased by an unknown perpetrator.
2016-03,Belgium,Anti-Semitic hate crime,Violent attacks against people,"Anti-Defamation League (ADL), Antisemitisme.be",Stones were thrown at people visibly identifiable as Jewish.
2016-03,Belgium,Anti-Semitic hate crime,Violent attacks against people,Antisemitisme.be,Stones were thrown at people visibly identifiable as Jewish.
2016-11,Belgium,Anti-Semitic hate crime,Threats,Antisemitisme.be,Firecrackers were thrown at people visibly identifiable as Jewish.
2016-11,Belgium,Anti-Semitic hate crime,Threats,Antisemitisme.be,Firecrackers were thrown at people visibly identifiable as Jewish.
2016-01,Belgium,"Anti-Semitic hate crime, Anti-LGBTI hate crime",Violent attacks against people,Antisemitisme.be,"A lesbian Jewish woman was assaulted, threatened and harassed multiple times. A perpetrator was arrested."
2016-12,Belgium,Anti-Semitic hate crime,Attacks against property,Antisemitisme.be,A swastika was spray-painted on the sidewalk in front of a Jewish school.
2016-01,Belgium,Anti-Semitic hate crime,Attacks against property,Antisemitisme.be,Anti-Semitic graffiti were spray-painted on a school.
2016-03,Belgium,Anti-Semitic hate crime,Attacks against property,"Anti-Defamation League (ADL), Antisemitisme.be",Anti-Semitic graffiti were spray-painted on a school.
2016-08,Belgium,Anti-Semitic hate crime,Attacks against property,Antisemitisme.be,Anti-Semitic graffiti were spray-painted on a train station.
2016-11,Belgium,Anti-Semitic hate crime,Attacks against property,Antisemitisme.be,A star of David was spray-painted on a truck.
2016-08,Belgium,Racist and xenophobic hate crime,Attacks against property,Antisemitisme.be,A swastika was carved into the roof of a car.
2016-09,Belgium,Anti-Semitic hate crime,Attacks against property,Antisemitisme.be,The car of the leader of a Jewish association was vandalized. His leather jacket was stolen and two kippahs were smeared with feces.
2016-10,Belgium,Anti-Semitic hate crime,Threats,Antisemitisme.be,A Jewish association received threatening messages calling for the murder of Jews and to see the name of the association's president written in Jewish blood.
2016-06,Belgium,Anti-Semitic hate crime,Threats,Antisemitisme.be,An individual threatened to set fire to a building he perceived to be a synagogue.
2016-01,Austria,Anti-Muslim hate crime,Violent attacks against people,Dokustelle,A Muslim woman wearing a headscarf was physically assaulted.
2016-06,Austria,Anti-Muslim hate crime,Attacks against property,Dokustelle,Two swastikas were drawn on a mosque during Ramadan.
2016-06,Austria,Anti-Muslim hate crime,Attacks against property,"Dokustelle, ZARA",A pig’s head was left in the main entrance of a mosque during Ramadan. The incident was reported to the police.
2016-02,Austria,Anti-Muslim hate crime,Violent attacks against people,Dokustelle,A Muslim woman wearing a headscarf was insulted and attacked while waiting at a public transport station.
2016-09,Austria,Anti-Muslim hate crime,Violent attacks against people,Dokustelle,A pregnant Muslim woman wearing a headscarf and her husband were physically assaulted after they were insulted.
2016-09,Austria,Anti-Muslim hate crime,Violent attacks against people,Dokustelle,A Muslim woman wearing a headscarf was insulted and physically assaulted in the metro.
2016-05,Austria,Anti-Muslim hate crime,Attacks against property,Dokustelle,Anti-Muslim graffiti were spray-painted on a garage door.
2016-09,Austria,Anti-Muslim hate crime,Attacks against property,Dokustelle,Anti-Muslim graffiti were spray-painted on a public wall.
2016-10,Austria,Anti-Muslim hate crime,Attacks against property,"Dokustelle, SETA",Anti-Muslim graffiti were spray-painted on a public wall.
2016-09,Austria,Anti-Muslim hate crime,Violent attacks against people,Dokustelle,A Muslim woman wearing a headscarf was assaulted at a bus stop.
2016-10,Austria,Anti-Muslim hate crime,Attacks against property,Dokustelle,A shop was spray-painted in red and an anti-Muslim message was left in front of the shop.
2016-07,Austria,Anti-Muslim hate crime,Attacks against property,Dokustelle,A Chechen cultural centre was targeted by an arson attack which also damaged an adjacent prayer room.
2016-11,Austria,Anti-Muslim hate crime,Violent attacks against people,Dokustelle,A Muslim woman wearing a headscarf was verbally abused and had a beer can thrown at her by a group.
2016-05,Austria,Anti-Muslim hate crime,Attacks against property,"Dokustelle, SETA, ZARA",A minaret undergoing construction was sprayed in pig's blood and two pigs heads were left at the scene.
2016-11,Austria,Anti-Muslim hate crime,Violent attacks against people,Dokustelle,A Syrian woman wearing a headscarf was insulted and assaulted.
2016-01,Austria,Anti-Muslim hate crime,Violent attacks against people,"Dokustelle, ZARA",A Muslim school teacher wearing a headscarf and her students were verbally abused and threatened while they were using public transport. Another teacher was punched in the head.
2016-03,Austria,Anti-Muslim hate crime,Violent attacks against people,Dokustelle,Two Muslim school teachers wearing headscarves accompanying a group of students were insulted. One of the teachers was hit by a beer can that was thrown at her.
2016-10,Austria,Anti-Muslim hate crime,Violent attacks against people,Dokustelle,A Muslim woman wearing a headscarf was shoved and spat at while using public transportation.
2016-05,Belarus,Anti-Semitic hate crime,Attacks against property,Center of Equal Rights Expertise,A Holocaust memorial was spray-painted with a swastika.
2016-06,Bulgaria,Anti-Muslim hate crime,Attacks against property,"Office of Grand Mufti in Bulgaria, SETA",A mosque was vandalized with threatening graffiti.
2016-07,Belarus,Anti-Semitic hate crime,Attacks against property,Center of Equal Rights Expertise,A Holocaust memorial was painted in yellow.
2016-11,Belarus,Anti-Semitic hate crime,Attacks against property,Center of Equal Rights Expertise,A stone commemorating the victims of National Socialism was painted black.
2016-11,Belarus,Anti-Semitic hate crime,Attacks against property,Center of Equal Rights Expertise,A stone commemorating the victims of National Socialism was spray-painted with a swastika.
2016-08,Bulgaria,Anti-Muslim hate crime,Attacks against property,"Office of Grand Mufti in Bulgaria, SETA",The hearse belonging to a local mufti was vandalized with graffiti.
2016-03,Denmark,Anti-Semitic hate crime,Threats,AKVAH,A Jewish association received a threatening call which stated that all Jews should have been killed during the Second World War.
2016-03,Denmark,Anti-Semitic hate crime,Attacks against property,AKVAH,A Jewish school was the target of a planned arson attack.
2016-09,Denmark,Anti-Semitic hate crime,Threats,AKVAH,"A Jewish man received threatening messages stating that he should be gassed like the previous generation, a reference to the Holocaust."
2016-09,France,Anti-Muslim hate crime,Threats,CCIF,A Muslim woman wearing a headscarf was threatened by a man with a knife.
2016-09,Bulgaria,Anti-Muslim hate crime,Attacks against property,"Office of Grand Mufti in Bulgaria, SETA",The building housing the Office of the Grand Mufti was vandalized with threatening graffiti.
