incident_id,country,state_name,year,month,bias_desc,offense_name
1,Europe,Belgium,2016,11,Anti-Semitic hate crime,Violent attacks against people
2,Europe,Belgium,2016,11,Anti-Semitic hate crime,Threats
3,Europe,Belgium,2016,03,Anti-Semitic hate crime,Violent attacks against people
4,Europe,Belgium,2016,03,Anti-Semitic hate crime,Violent attacks against people
5,Europe,Belgium,2016,11,Anti-Semitic hate crime,Threats
6,Europe,Belgium,2016,11,Anti-Semitic hate crime,Threats
7,Europe,Belgium,2016,01,Anti-Semitic hate crime,Violent attacks against people
7,Europe,Belgium,2016,01,Anti-LGBTI hate crime,Violent attacks against people
8,Europe,Belgium,2016,12,Anti-Semitic hate crime,Attacks against property
9,Europe,Belgium,2016,01,Anti-Semitic hate crime,Attacks against property
10,Europe,Belgium,2016,03,Anti-Semitic hate crime,Attacks against property
11,Europe,Belgium,2016,08,Anti-Semitic hate crime,Attacks against property
12,Europe,Belgium,2016,11,Anti-Semitic hate crime,Attacks against property
13,Europe,Belgium,2016,08,Racist and xenophobic hate crime,Attacks against property
14,Europe,Belgium,2016,09,Anti-Semitic hate crime,Attacks against property
15,Europe,Belgium,2016,10,Anti-Semitic hate crime,Threats
16,Europe,Belgium,2016,06,Anti-Semitic hate crime,Threats
17,Europe,Austria,2016,01,Anti-Muslim hate crime,Violent attacks against people
18,Europe,Austria,2016,06,Anti-Muslim hate crime,Attacks against property
19,Europe,Austria,2016,06,Anti-Muslim hate crime,Attacks against property
20,Europe,Austria,2016,02,Anti-Muslim hate crime,Violent attacks against people
21,Europe,Austria,2016,09,Anti-Muslim hate crime,Violent attacks against people
22,Europe,Austria,2016,09,Anti-Muslim hate crime,Violent attacks against people
23,Europe,Austria,2016,05,Anti-Muslim hate crime,Attacks against property
24,Europe,Austria,2016,09,Anti-Muslim hate crime,Attacks against property
25,Europe,Austria,2016,10,Anti-Muslim hate crime,Attacks against property
26,Europe,Austria,2016,09,Anti-Muslim hate crime,Violent attacks against people
27,Europe,Austria,2016,10,Anti-Muslim hate crime,Attacks against property
28,Europe,Austria,2016,07,Anti-Muslim hate crime,Attacks against property
29,Europe,Austria,2016,11,Anti-Muslim hate crime,Violent attacks against people
30,Europe,Austria,2016,05,Anti-Muslim hate crime,Attacks against property
31,Europe,Austria,2016,11,Anti-Muslim hate crime,Violent attacks against people
32,Europe,Austria,2016,01,Anti-Muslim hate crime,Violent attacks against people
33,Europe,Austria,2016,03,Anti-Muslim hate crime,Violent attacks against people
34,Europe,Austria,2016,10,Anti-Muslim hate crime,Violent attacks against people
35,Europe,Belarus,2016,05,Anti-Semitic hate crime,Attacks against property
36,Europe,Bulgaria,2016,06,Anti-Muslim hate crime,Attacks against property
37,Europe,Belarus,2016,07,Anti-Semitic hate crime,Attacks against property
38,Europe,Belarus,2016,11,Anti-Semitic hate crime,Attacks against property
39,Europe,Belarus,2016,11,Anti-Semitic hate crime,Attacks against property
40,Europe,Bulgaria,2016,08,Anti-Muslim hate crime,Attacks against property
41,Europe,Denmark,2016,03,Anti-Semitic hate crime,Threats
42,Europe,Denmark,2016,03,Anti-Semitic hate crime,Attacks against property
43,Europe,Denmark,2016,09,Anti-Semitic hate crime,Threats
44,Europe,France,2016,09,Anti-Muslim hate crime,Threats
45,Europe,Bulgaria,2016,09,Anti-Muslim hate crime,Attacks against property
46,Europe,France,2016,03,Anti-Muslim hate crime,Violent attacks against people
47,Europe,Bulgaria,2016,10,Anti-Muslim hate crime,Attacks against property
48,Europe,France,2016,01,Anti-Muslim hate crime,Attacks against property
49,Europe,Bulgaria,2016,11,Anti-Muslim hate crime,Attacks against property
